sentence,label
ጊዜው ይፈትናል አንድ ቀን  ደስታ አንድ ቀን  መከፋት ግን ሁሉም ያልፋል ጥሩ ጊዜ ይመጣል ብዬ አስባለሁ  መልካም ቅዳሜ ይሁን,positive
ዛሬ ቅድስት ስላሴ ቤተክርስቲያን መከፈቱን ሰምቼ በጣም ደስ ብሎኛል የተዋህዶ ልጆች እንኳን ደስ አላችሁ  ስለፊልሙ ካየሁት በኋላ እመለሳለሁ,neutral
ሙሉውን ልየውና ከች እላለሁ እናተ ግን አይታችሁ ሳጨርሱ አትኮምቱ ተው ግንንን,neutral
በየምነታችሁ ፀልዩልይ  ሰራ የለኝም ጭንቅ ብሎኛ  የሠው ልጅ መጨረሻው ሲያምር ነውና እግዚአብሔር  መጨረሻችንን ያሳምረው  አሜን,neutral
ኮረና ጠፋ ሲባል መስማት የናፈቀዉ,neutral
የሀገር  ልጆች  አረ የት  ናቸው  አድስ ፊልም  ተለቆል አብረን  እንይ  ያለ እንተ ምኖም አይምርም  የት  ናችው  ስወዳችሁ እኮ,positive
መገን ወር ሞላብኝ እኮ ይን ፊልም ለመጨረስ,negative
ውጪዎች ቢሰሩት የሚገርም ኤሮቲክ ይወጣዋል,positive
እናንት የፊልም ሰሪዋች ብዙ ፊልም ላይ ምግብ ቀርቦ ወይ ስትበሉ ስርአት የላችሁ ለምሳሌ ይህ ፊልም ምግብ ቀርቦ ሲነጋገሩ  ስላልተግባቡ ሊጎረስ የተጠቀለለውን መወርወር ይህ አሁን ምን ያስተምር እንዲህ በመሆኑ የሚደሰት እለ  ፊልም እያስተማረ እንዲያልፍ ነው ግን ደግሞ ስርአትንም ማስተማር ያስፈልጋል ዛሬ የወረወርሽው ምግብ ነገ ይቸግራል ያ ቀን ሳይመጣ ትንሽም ቢሆን ስርአትን ተለማመጂ ገና ወጣት ነሽ ብዙ ነገር ይጠብቅሻል  ከዚሁ ተማሪ ስርአት ይጠቅማል እንጂ አይጎዳም,negative
አሪፍ ፊልም ነው  Thank you I enjoyed it,positive
አማርኛ ፊልም ርዕሱ ተመሳሳይ ፡የቤት ልጅ የጎረቤት ልጅ፡ የሰፈሬ ልጅ፡ የሴት ልጅ፡ የሴም ልጅ፣ የልጅ ልጅ ፣ የአክስት ልጅ ፡  ሰውየው ፡ሴትየዋ ፣ሹገር ማሚ ፣ሹገር ዳዲ እያለ ይቀጥላል,negative
ቅድስ ገብኤል የልባችን መሻት ይፈጽምልን ከዚህ በሽታ ይስውርን አሪፍ ፌልም ነው እዩት,positive
ለመላው። የኢትዩጵያና የአለም ህዝብ ሰላም ያውርድልን መደሀኒለም ሆይ።  ማርን ይቅር በለን ወገኖቻችንን። ማርልን እኛንም። ክመከራ ስጋ ክመክራ ነፍስ ጠብቀን አሜን, neutral 
እስቲ ጩባውን አይቶ ፊልሙን የከፈተ, neutral 
እረ ወገን እኔ መዳም እራሷ ኮሮና ሆነችብኝ እኮ ,negative 
እኔ ጩባውን ስላየሁ ብቻ ከፈትኩት እኔም የምትሉ ግጩኝ ከመዳም ኩሽና ያጋጫችሁና ወዳችዋሎ, neutral 
ሰላም ሰላም የሀገሬ  ልጆች  በስደትም በሀገር ቤትም ያላችሁ   እግዚአብሔር ይጠብቀን ሀገራችንን ሰላም ያርግልን, neutral 
እኔ መቸም ሚሊዎን ብርሀኔን አይቸ ማለፍ ግፍ ይሆንብኛል በጣም ነዉ እምወደዉ በተለይ ዘጠነኛዉ ሽ ላይ የሳቄ ምንጭ እሱ ነዉ እኮ እህህ ኮሜንት አይቸ እመለስ አለሁኚ, neutral 
የልጁ ድምፅ ዋው ነው ኧረ ተጠቀምበት ጓዳ ለጓዳ አታርመጥምጠው አሪፍ ድምፅ አለህ በኮምፒውተር ያልታገዘ ያልተበረዘ የእግዚአብሔር ድንቅ ስጦታ ከቻልክ በዝማሬ ፈጣሪህን አመስግንበት,positive 
ወይኔ ሸሚዙ ግን ፍረደበት እየተቀያየራችሁ የምር ያበደነው አቤት ጩቤቲ, neutral 
ጩባው እንደ እኔ የሚያስቀው ግጩኝ።, neutral 
ጩቢቲ ከባድ ድምፃዊ መቶብሻል ቮካል ስሪ,positive
በጣም ደስ ይላል ትንሽ ቅር ያለኝ ዘፋኙ ሲዘፍን ቢታይ ጥሩ ነበር ። የሃና እህት ባልሳሳት ዘመን ላይ የደሞዜ ሚስት ሆና የሰራችው ናት አይደል ,positive 
በጣም ሀሪፍ ድምፅ ነው ግን ያለው,positive 
አይ ሐኒ ይህ እውነት ነው ::ስትስቂ. ስትተክጅ. ቁም ነገር. ስትሆኝ ውብ ቆንጆ ብቻ አይገልጽሽም እንዳልሽው ስውን ላለማስቀየም ትጨነቂ አለሽ ጥሩ ነው አየሽ አንችም ስው, neutral 
ምናለ ጩባው ጉረቤቴ ቢሆን ሁሌ ቀልድ እንድጠግብ,positive 
ሪፍ ነው ምንም አይልም በማየቴ አልተቆጨሁም እዮት እስቲ አፍ አውጥቼ ያቺን ነገር ልለምን በሰ የምትጀምረዋን ነገር ኮሜንት ልታነቡ መምጣታችሁ ስለማይቀር እያደረጋችሁኝ እለፉ በኮሮና ሞት ይሁንባችሁ,positive 
ምርጥ ፊልም ይመስላል እስኪ ኋላ አይቼ አስተያየት እሰጣለሁ ቻናሌን ግን, neutral 
እናመሠግናለን ሚሊዮን ቀውጢ ነህ ,positive 
የራስህ ድምፅ ከሆነ ግን .... ባህሩ ቀኜ አልሞተም ,positive
ፈጣሪ ከዝህ በሽታ ይጠብቃችሁ ከቤት አትውጡ በዛውም  ስብስክራይ አድርጉኝ አዲሱ የቻናል ነው አፍጥኑት, neutral 
ውይ ደስ ሲል ጓደኝነት ማለት እደዚህነው ጓደኞቹ ደስ ሲሉ በተለይ ጭውቴ,positive
ዛሬ እመቤቴ ቅድሰት ድንግል ማርያም ነች ቢሆንልን በለን ያሰብንውን  ሁሉ የልባችንን መሻት ትፈፀምልን አሜን, neutral 
ጩባው ውስጤ ነህ የኔ አደኛ ሚሊዬ, neutral 
የራስህ ድምፅ ከሆነ ግን .... ባህሩ ቀኜ አልሞተም ,positive 
እኔምለው ለፊልሙ አስተያየት መስጠት ትታቹ ላይክ ላይክ ምትሉት ግን ምንድነው የምታገኙት ጥቅም, neutral
ኢትዮ ውሥጥ በጣም ብዙ  የታረክ በታ እያለን የሚሠሩት ፊልሞች ሁሁ መጠጥ ቤት  ጭፈራ ቤት ሺሻ ቤት ቁማር  ሢጋራ  ከተማ ለከተማ እንደ እብድ ውሻ እየሄዱ ከከተማ ሣይወጡ ይበጫበጫሉ,negative 
በጣም አሪፍ ስራ ነው በርቱ ወገኖቼ ሰላም ፍቅር ጤና ለወገኔ ይሁን እወዳችሗለሁ ምርጥ ተዋናይ ናችሁ ታምራላችሁ,positive
ሴት መጥፎ፣ ወንድ ጀዝባ ነዉ ከማለት ሌላ ድርሰት አታቁም,negative 
ቀሽት ፊልም ነፀብራቆች ይቻማችሁ፡ ደሬ ግን ከምር ዘፋኝ ነው? አሪፍ ድምጽ አለው,positive 
አማኑኤል ያለበት ፊልም ሁሉ ይመቸኛል እስኪ እንደኔ እድናቂዎቹ የት ናችሁ,positive 
